,experience_level,employment_type,remote_ratio,company_size,salary_in_usd
126,2,0,0.5,0,0.2
127,1,0,0.0,0,0.016
128,0,0,1.0,0,0.033
129,2,0,0.5,2,0.068
130,0,0,0.5,0,0.167
131,0,0,0.5,1,0.083
132,1,0,1.0,1,0.064
133,2,0,1.0,1,0.04
134,0,0,0.0,0,0.167
135,1,0,1.0,1,0.15
136,1,0,0.5,0,0.106
137,1,0,0.5,0,0.129
138,2,0,0.0,2,0.367
139,0,0,1.0,1,0.133
140,1,0,1.0,2,0.225
141,2,0,0.0,2,0.4
142,2,0,0.0,2,0.25
143,1,0,1.0,0,0.138
144,1,0,1.0,2,0.167
145,2,0,0.5,1,0.138
146,1,0,0.5,1,0.104
147,1,0,1.0,2,0.15
148,2,0,1.0,2,0.255
149,2,0,1.0,0,0.267
150,2,0,0.0,0,0.28
151,1,0,1.0,1,0.25
152,1,0,1.0,2,0.126
153,0,0,1.0,2,0.022
154,2,0,1.0,2,0.24
155,2,0,0.5,2,0.212
156,1,0,1.0,1,0.198
157,1,0,0.5,2,0.705
158,2,0,1.0,1,0.2
159,0,0,1.0,0,0.208
160,3,0,0.5,2,0.383
161,3,0,0.0,1,0.142
162,1,0,0.5,2,0.047
163,0,0,0.5,2,0.106
164,3,0,0.5,1,0.217
165,2,0,1.0,2,0.275
166,0,0,1.0,2,0.133
167,3,0,0.0,2,0.417
168,0,0,0.5,0,0.092
169,1,0,1.0,2,0.25
170,1,0,1.0,2,0.283
171,1,0,1.0,2,0.138
172,0,0,1.0,0,0.1
173,2,0,1.0,2,0.392
174,2,0,0.5,2,0.101
175,2,0,1.0,2,0.29
176,1,0,0.0,0,0.005
177,1,0,1.0,2,0.067
178,0,0,0.5,0,0.135
179,1,0,1.0,0,0.009
180,1,0,0.0,2,0.038
181,1,0,0.5,2,0.151
182,1,0,0.0,2,0.043
183,2,0,0.5,2,0.103
184,1,3,0.5,1,0.02
185,1,0,1.0,1,0.007
186,2,0,1.0,1,0.083
187,3,0,1.0,0,0.116
188,2,0,0.5,0,0.128
189,1,0,0.5,0,0.123
190,2,0,1.0,2,0.253
191,0,0,0.5,1,0.036
192,1,0,0.0,0,0.03
193,2,0,1.0,2,0.29
194,2,0,0.5,2,0.16
195,1,0,0.5,2,0.245
196,0,0,1.0,0,0.015
197,2,0,1.0,2,0.041
198,2,0,0.5,2,0.09
199,0,0,1.0,0,0.15
200,1,0,0.5,1,0.102
201,2,0,1.0,1,0.325
202,1,0,1.0,2,0.063
203,2,0,1.0,0,0.083
204,1,0,1.0,2,0.267
205,1,0,0.0,0,0.022
206,2,0,1.0,2,0.333
207,2,0,0.0,1,0.275
208,1,3,0.0,2,0.033
209,2,0,0.0,2,0.2
210,1,0,0.5,2,0.041
211,1,0,0.5,0,0.095
212,1,0,0.5,0,0.11
213,0,0,0.0,2,0.01
214,0,0,0.5,1,0.041
215,2,0,1.0,2,0.308
216,0,2,0.5,0,0.048
217,1,0,0.5,2,0.151
218,1,0,1.0,1,0.148
219,2,0,1.0,2,0.233
220,1,0,1.0,2,0.078
221,1,0,0.5,2,0.195
222,1,0,0.0,1,0.056
223,1,0,0.5,2,0.094
224,2,0,1.0,2,0.375
225,3,1,1.0,0,0.693
226,2,0,1.0,0,0.146
227,1,0,0.5,2,0.148
228,2,0,0.0,2,0.225
229,2,0,1.0,1,0.12
230,0,0,1.0,2,0.027
231,2,0,1.0,0,0.427
232,2,0,1.0,2,0.333
233,2,0,1.0,2,0.333
234,1,0,1.0,2,0.3
235,1,0,0.0,0,0.183
236,1,0,1.0,1,0.106
237,1,0,1.0,1,0.078
238,0,0,0.0,1,0.007
239,0,0,0.5,1,0.036
240,2,0,1.0,2,0.173
241,1,0,1.0,2,0.133
242,1,0,1.0,2,0.183
243,2,0,1.0,2,0.275
244,0,0,1.0,0,0.03
245,1,0,0.5,2,0.12
246,0,0,0.5,2,0.061
247,1,0,0.0,1,0.02
248,2,0,0.5,2,0.16
249,2,0,1.0,1,0.283
250,1,0,0.5,2,0.192
251,0,0,1.0,0,0.15
252,3,0,1.0,2,1.0
253,0,0,1.0,1,0.047
254,1,0,1.0,2,0.155
255,2,0,0.5,1,0.166
256,1,0,1.0,2,0.333
257,2,0,1.0,1,0.29
258,2,0,0.5,2,0.308
259,3,0,0.0,2,0.236
260,1,0,0.5,2,0.217
261,2,0,0.5,2,0.106
262,1,0,1.0,0,0.028
263,2,0,0.0,2,0.11
264,1,0,1.0,0,0.043
265,2,0,0.5,0,0.267
266,1,0,0.0,1,0.155
267,1,0,0.0,1,0.186
268,1,0,1.0,1,0.047
269,0,0,0.5,1,0.108
270,0,0,1.0,2,0.121
271,2,0,0.0,1,0.032
272,0,0,0.0,2,0.128
273,0,0,1.0,0,0.142
274,2,0,0.5,1,0.129
275,0,0,1.0,1,0.167
276,0,0,0.5,2,0.097
277,2,0,1.0,2,0.092
278,2,0,0.5,2,0.034
279,0,0,1.0,2,0.099
280,1,0,1.0,2,0.187
281,0,0,0.0,2,0.167
282,1,2,1.0,2,0.116
283,2,1,1.0,1,0.175
284,1,0,0.5,2,0.117
285,2,0,0.5,2,0.158
286,2,0,1.0,2,0.171
287,1,0,0.5,2,0.182
288,1,0,0.5,2,0.085
289,2,0,1.0,1,0.225
290,2,0,1.0,1,0.258
291,2,0,1.0,1,0.201
292,1,0,0.0,1,0.217
293,1,0,0.0,1,0.15
294,1,0,1.0,1,0.283
295,1,0,1.0,1,0.25
296,2,0,1.0,1,0.17
297,2,0,1.0,1,0.141
298,2,0,1.0,1,0.228
299,2,0,1.0,1,0.166
300,2,0,0.0,1,0.196
301,2,0,0.0,1,0.175
302,2,0,1.0,1,0.243
303,2,0,1.0,1,0.205
304,0,0,1.0,1,0.087
305,2,0,0.0,1,0.165
306,2,0,0.0,1,0.193
307,1,0,0.0,1,0.177
308,1,0,0.0,1,0.211
309,3,0,1.0,1,0.403
310,3,0,1.0,1,0.333
311,1,0,0.0,1,0.109
312,1,0,0.0,1,0.065
313,1,0,0.0,1,0.131
314,1,0,0.0,1,0.087
315,2,0,1.0,1,0.275
316,0,0,1.0,1,0.076
317,2,0,1.0,1,0.2
318,2,0,1.0,1,0.151
319,2,0,0.0,1,0.303
320,2,0,0.0,1,0.221
321,2,0,0.0,1,0.367
322,2,0,0.0,1,0.267
323,2,0,0.0,2,0.3
324,2,0,0.0,2,0.2
325,2,0,1.0,1,0.207
326,3,0,1.0,1,0.217
327,3,0,1.0,1,0.183
328,2,0,1.0,1,0.283
329,1,0,1.0,1,0.193
330,2,0,1.0,1,0.188
331,2,0,1.0,1,0.151
332,2,0,1.0,1,0.188
333,2,0,1.0,1,0.151
334,2,0,1.0,1,0.276
335,2,0,1.0,1,0.221
336,1,0,1.0,1,0.278
337,2,0,1.0,1,0.406
338,2,0,1.0,1,0.228
339,2,0,1.0,1,0.182
340,2,0,1.0,1,0.215
341,2,0,1.0,1,0.156
342,3,0,1.0,1,0.373
343,3,0,1.0,1,0.28
344,3,0,1.0,1,0.292
345,2,0,1.0,1,0.261
346,2,0,0.0,1,0.181
347,2,0,0.0,1,0.159
348,2,0,0.0,2,0.188
349,2,0,1.0,1,0.225
350,2,0,1.0,1,0.269
351,2,0,1.0,1,0.229
352,2,0,1.0,1,0.278
353,2,0,1.0,1,0.205
354,2,0,0.0,1,0.131
355,2,0,0.0,1,0.109
356,2,0,0.0,1,0.25
357,2,0,1.0,1,0.352
358,2,0,1.0,1,0.321
359,2,0,1.0,1,0.151
360,2,0,1.0,1,0.217
361,2,0,1.0,1,0.102
362,2,0,1.0,1,0.217
363,2,0,1.0,1,0.102
364,2,0,0.0,2,0.267
365,2,0,1.0,1,0.231
366,2,0,0.0,1,0.227
367,1,0,0.0,0,0.097
368,3,0,1.0,1,0.225
369,2,0,1.0,1,0.283
370,2,0,1.0,1,0.205
371,2,0,0.0,1,0.316
372,2,0,0.0,1,0.275
373,1,0,0.0,1,0.092
374,1,0,0.0,1,0.092
375,3,0,1.0,0,0.197
376,2,0,0.0,1,0.22
377,2,0,1.0,1,0.276
378,2,0,1.0,1,0.348
379,2,0,1.0,1,0.246
380,2,0,1.0,1,0.228
381,2,0,1.0,1,0.169
382,2,0,1.0,1,0.215
383,2,0,1.0,1,0.156
384,3,0,0.5,2,0.132
385,2,0,1.0,1,0.221
386,0,0,1.0,2,0.062
387,2,0,0.0,1,0.273
388,2,0,1.0,1,0.258
389,1,0,0.0,1,0.207
390,1,0,0.0,1,0.164
391,1,0,0.0,1,0.2
392,2,0,1.0,1,0.188
393,2,0,1.0,1,0.151
394,2,0,1.0,1,0.242
395,2,0,1.0,1,0.176
396,1,0,1.0,1,0.147
397,1,0,0.0,1,0.196
398,2,0,1.0,2,0.359
399,2,0,1.0,2,0.264
400,2,0,1.0,2,0.348
401,2,0,1.0,2,0.258
402,2,0,0.0,1,0.193
403,2,0,0.0,1,0.136
404,2,0,1.0,1,0.292
405,1,0,0.0,1,0.164
406,1,0,0.0,0,0.097
407,2,0,1.0,2,0.306
408,1,0,1.0,1,0.087
409,2,0,1.0,1,0.3
410,1,0,0.0,1,0.12
411,1,0,0.0,1,0.076
412,1,0,1.0,1,0.11
413,1,0,1.0,1,0.082
414,1,0,1.0,1,0.131
415,1,0,1.0,1,0.098
416,2,0,1.0,1,0.433
417,2,0,1.0,2,0.1
418,1,0,0.0,1,0.106
419,1,0,1.0,2,0.267
420,1,0,1.0,2,0.187
421,1,0,1.0,1,0.402
422,1,0,1.0,1,0.265
423,2,0,0.0,1,0.3
424,2,0,0.0,1,0.133
425,1,0,0.0,1,0.138
426,2,0,1.0,2,0.168
427,1,0,1.0,1,0.082
428,2,0,0.0,2,0.234
429,1,0,1.0,1,0.065
430,1,0,1.0,1,0.073
431,1,0,1.0,1,0.055
432,1,0,1.0,1,0.147
433,1,0,1.0,1,0.128
434,1,0,1.0,1,0.175
435,1,0,1.0,1,0.153
436,1,0,1.0,1,0.11
437,1,0,1.0,1,0.147
438,2,0,0.0,1,0.316
439,2,0,0.0,1,0.275
440,1,0,1.0,1,0.073
441,1,0,1.0,1,0.055
442,1,0,1.0,1,0.164
443,1,0,1.0,1,0.131
444,2,0,0.0,2,0.359
445,1,0,1.0,1,0.128
446,2,0,1.0,2,0.348
447,2,0,1.0,2,0.258
448,2,0,1.0,1,0.3
449,0,0,1.0,2,0.037
450,2,0,1.0,1,0.133
451,1,0,1.0,1,0.131
452,3,0,0.5,2,0.328
453,1,0,1.0,0,0.2
454,0,0,0.0,1,0.208
455,1,0,0.5,2,0.062
456,2,0,1.0,1,0.175
457,2,0,0.0,1,0.147
458,1,0,1.0,1,0.031
459,1,0,1.0,2,0.053
460,1,0,0.5,2,0.097
461,0,0,0.5,2,0.167
462,1,2,0.5,2,0.092
463,0,0,1.0,1,0.031
464,2,0,1.0,1,0.271
465,0,0,1.0,1,0.2
466,2,0,0.5,2,0.24
467,2,0,1.0,1,0.175
468,2,0,1.0,1,0.167
469,2,0,1.0,1,0.233
470,1,0,1.0,1,0.225
471,1,0,1.0,1,0.083
472,2,0,1.0,1,0.367
473,2,0,1.0,1,0.233
474,1,0,0.0,1,0.305
475,1,0,0.0,1,0.153
476,2,0,1.0,1,0.308
477,2,0,1.0,1,0.367
478,1,0,1.0,1,0.333
479,1,0,1.0,1,0.2
480,2,0,1.0,0,0.2
481,2,0,1.0,0,0.108
482,3,0,1.0,1,0.54
483,3,0,1.0,1,0.36
484,2,0,1.0,1,0.35
485,2,0,1.0,1,0.2
486,2,0,1.0,1,0.383
487,0,2,0.5,1,0.167
488,1,3,1.0,1,0.167
489,0,1,1.0,1,0.053
490,2,0,1.0,1,0.333
491,1,0,1.0,0,0.125
492,1,0,1.0,2,0.059
493,2,0,1.0,1,0.131
494,2,0,1.0,1,0.167
495,1,0,0.5,1,0.255
496,0,0,1.0,1,0.097
497,2,0,1.0,1,0.275
498,2,0,0.5,2,0.156
499,0,0,1.0,2,0.087
500,2,0,1.0,2,0.104
501,1,0,1.0,0,0.055
502,0,0,1.0,2,0.067
503,1,0,1.0,2,0.146
504,2,0,1.0,1,0.192
505,0,0,0.5,1,0.145
506,1,0,1.0,2,0.125
507,1,0,0.0,2,0.108
508,0,0,1.0,2,0.2
509,1,0,1.0,2,0.262
510,0,0,1.0,0,0.25
511,1,0,0.5,2,0.118
512,0,0,1.0,0,0.108
513,2,0,1.0,0,0.119
514,0,0,0.0,1,0.033
515,1,0,1.0,0,0.08
516,2,0,1.0,1,0.254
517,1,0,1.0,1,0.114
518,1,0,0.0,2,0.204
519,2,0,1.0,2,0.633
520,1,0,1.0,1,0.116
521,0,0,1.0,1,0.017
522,1,0,1.0,0,0.033
523,2,0,1.0,2,0.675
524,1,0,1.0,2,0.225
525,2,0,1.0,2,0.295
526,1,0,1.0,1,0.13
527,2,0,1.0,1,0.225
528,2,0,1.0,1,0.167
529,2,0,1.0,1,0.151
530,1,0,0.0,1,0.142
531,1,0,0.0,1,0.125
532,2,0,1.0,1,0.357
533,2,0,1.0,1,0.321
534,2,0,1.0,1,0.444
535,2,0,1.0,1,0.355
536,2,0,1.0,1,0.188
537,2,0,1.0,1,0.258
538,1,0,0.0,1,0.235
539,1,0,0.0,1,0.17
540,2,0,1.0,1,0.193
541,2,0,1.0,1,0.136
542,1,0,0.0,1,0.344
543,1,0,0.0,1,0.165
544,2,0,1.0,1,0.217
545,2,0,1.0,1,0.192
546,2,0,1.0,1,0.184
547,2,0,1.0,1,0.217
548,2,0,1.0,1,0.165
549,2,0,1.0,1,0.267
550,2,0,0.0,2,0.342
551,2,0,0.0,2,0.234
552,2,0,1.0,1,0.293
553,2,0,1.0,1,0.24
554,2,0,1.0,1,0.334
555,2,0,1.0,1,0.267
556,2,0,1.0,1,0.242
557,2,0,0.0,1,0.117
558,2,0,0.0,1,0.342
559,2,0,0.0,1,0.234
560,2,0,0.0,1,0.342
561,2,0,0.0,1,0.308
562,2,0,1.0,1,0.292
563,2,0,1.0,1,0.234
564,2,0,1.0,1,0.194
565,2,0,0.0,1,0.09
566,2,0,1.0,1,0.283
567,1,0,0.0,1,0.109
568,2,0,1.0,1,0.133
569,2,0,1.0,1,0.233
570,2,0,1.0,1,0.35
571,2,0,1.0,1,0.233
572,2,0,1.0,1,0.167
573,2,0,1.0,1,0.115
574,2,0,1.0,1,0.35
575,2,0,1.0,1,0.233
576,2,0,1.0,1,0.35
577,2,0,1.0,1,0.25
578,2,0,1.0,1,0.167
579,2,0,1.0,1,0.042
580,2,0,1.0,1,0.211
581,2,0,1.0,1,0.177
582,2,0,1.0,1,0.367
583,2,0,1.0,1,0.267
584,2,0,1.0,1,0.175
585,2,0,1.0,1,0.185
586,1,0,0.0,1,0.076
587,2,0,1.0,1,0.233
588,2,0,0.0,1,0.165
589,2,0,1.0,1,0.1
590,2,0,1.0,1,0.321
591,2,0,1.0,1,0.241
592,2,0,1.0,1,0.383
593,2,0,1.0,1,0.25
594,2,0,1.0,1,0.25
595,2,0,1.0,1,0.182
596,2,0,1.0,1,0.35
597,2,0,1.0,1,0.283
598,1,0,1.0,1,0.267
599,1,0,1.0,1,0.217
600,0,0,0.0,1,0.112
601,0,0,0.0,1,0.087
602,2,0,1.0,1,0.257
603,2,0,1.0,1,0.21
604,2,0,0.0,1,0.215
605,2,0,1.0,1,0.25
606,1,0,1.0,2,0.333
